# ===============================
# Provincia con más hechos por colección
# ===============================
IdColeccion,Provincia


# ===============================
# Categoría con más hechos
# ===============================
CategoriaMasHechos
Desastre Tecnológico - Evento Sanitario


# ===============================
# Provincia con más hechos por categoría
# ===============================
Categoria,Provincia
Desastre Tecnológico - Derrame,Buenos Aires
Economia,Ciudad Autónoma De Buenos Aires
Desastre Tecnológico - Evento Sanitario,Jujuy
Desastre Tecnológico - Contaminación,Buenos Aires
Accidentes,Jujuy
Festivales,Ciudad Autónoma De Buenos Aires


# ===============================
# Hora con más hechos por categoría
# ===============================
Categoria,Hora
Desastre Tecnológico - Derrame,0
Economia,0
Desastre Tecnológico - Evento Sanitario,0
Desastre Tecnológico - Contaminación,0
Accidentes,0
Festivales,0


# ===============================
# Cantidad de solicitudes marcadas como SPAM
# ===============================
CantidadSpam
0
