Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Incidente registrado en Mendoza,Autoridades locales reportaron un incidente ocurrido en Mendoza. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Natural - Inundación,-32.8895,-68.8458,31/07/2021
"Incidente registrado en Posadas, Misiones","Autoridades locales reportaron un incidente ocurrido en Posadas, Misiones. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.",Desastre Natural - Incendio,-27.3621,-55.9009,20/07/2021
Incidente registrado en Neuquén,Autoridades locales reportaron un incidente ocurrido en Neuquén. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Tecnológico - Accidente industrial,-38.9516,-68.0591,17/11/2019
"Incidente registrado en Rosario, Santa Fe","Autoridades locales reportaron un incidente ocurrido en Rosario, Santa Fe. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.",Desastre Natural - Inundación,-32.9442,-60.6505,08/10/2020
"Incidente registrado en Ushuaia, Tierra del Fuego","Autoridades locales reportaron un incidente ocurrido en Ushuaia, Tierra del Fuego. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.",Desastre Tecnológico - Evento sanitario,-54.8019,-68.303,07/05/2020
"Incidente registrado en Ushuaia, Tierra del Fuego","Autoridades locales reportaron un incidente ocurrido en Ushuaia, Tierra del Fuego. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.",Desastre Tecnológico - Evento sanitario,-54.8019,-68.303,23/11/2023
Incidente registrado en San Juan,Autoridades locales reportaron un incidente ocurrido en San Juan. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Natural - Inundación,-31.5375,-68.5364,07/09/2018
Incidente registrado en Salta,Autoridades locales reportaron un incidente ocurrido en Salta. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Tecnológico - Evento sanitario,-24.7821,-65.4232,21/04/2020
Incidente registrado en Córdoba,Autoridades locales reportaron un incidente ocurrido en Córdoba. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Tecnológico - Accidente industrial,-31.4201,-64.1888,30/05/2021
Incidente registrado en Neuquén,Autoridades locales reportaron un incidente ocurrido en Neuquén. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Natural - Inundación,-38.9516,-68.0591,08/03/2022
Incidente registrado en Mendoza,Autoridades locales reportaron un incidente ocurrido en Mendoza. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Tecnológico - Accidente industrial,-32.8895,-68.8458,09/01/2022
Incidente registrado en Córdoba,Autoridades locales reportaron un incidente ocurrido en Córdoba. El evento generó impacto en la comunidad y activó protocolos de emergencia. Equipos especializados trabajan para mitigar las consecuencias.,Desastre Natural - Incendio,-31.4201,-64.1888,07/03/2018
