Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Hecho 1 en Nueva York,Registro sintético del hecho número 1 ocurrido en Nueva York.,Robo,40.690303,-74.033679,26/04/2023
Hecho 2 en Nueva York,Registro sintético del hecho número 2 ocurrido en Nueva York.,Delito informático,40.721849,-74.052822,23/12/2015
Hecho 3 en Nueva York,Registro sintético del hecho número 3 ocurrido en Nueva York.,Evento cultural,40.713336,-74.053346,10/08/2017
Hecho 4 en París,Registro sintético del hecho número 4 ocurrido en París.,Delito informático,48.828644,2.361127,15/09/2019
Hecho 5 en Buenos Aires,Registro sintético del hecho número 5 ocurrido en Buenos Aires.,Manifestación,-34.611439,-58.403813,30/10/2022
Hecho 6 en París,Registro sintético del hecho número 6 ocurrido en París.,Incendio,48.815875,2.311872,23/02/2016
Hecho 7 en Londres,Registro sintético del hecho número 7 ocurrido en Londres.,Emergencia sanitaria,51.538113,-0.104827,19/12/2017
Hecho 8 en Sídney,Registro sintético del hecho número 8 ocurrido en Sídney.,Accidente,-33.91092,151.188618,31/03/2019
Hecho 9 en Ciudad de México,Registro sintético del hecho número 9 ocurrido en Ciudad de México.,Incendio,19.401829,-99.176244,22/06/2021
Hecho 10 en París,Registro sintético del hecho número 10 ocurrido en París.,Desastre natural,48.892132,2.388848,23/11/2015
Hecho 11 en Roma,Registro sintético del hecho número 11 ocurrido en Roma.,Desastre natural,41.916368,12.482883,01/02/2020
Hecho 12 en Londres,Registro sintético del hecho número 12 ocurrido en Londres.,Incendio,51.524418,-0.107618,08/05/2017
Hecho 13 en Nueva York,Registro sintético del hecho número 13 ocurrido en Nueva York.,Emergencia sanitaria,40.679914,-73.983087,13/02/2022
Hecho 14 en Madrid,Registro sintético del hecho número 14 ocurrido en Madrid.,Corte de servicios,40.393795,-3.661261,04/04/2019
Hecho 15 en Sídney,Registro sintético del hecho número 15 ocurrido en Sídney.,Evento cultural,-33.886372,151.236131,05/09/2022
Hecho 16 en Buenos Aires,Registro sintético del hecho número 16 ocurrido en Buenos Aires.,Evento cultural,-34.65049,-58.400055,20/03/2024
Hecho 17 en Tokio,Registro sintético del hecho número 17 ocurrido en Tokio.,Accidente,35.730814,139.698418,14/05/2017
Hecho 18 en Londres,Registro sintético del hecho número 18 ocurrido en Londres.,Evento cultural,51.507323,-0.089332,08/05/2022
Hecho 19 en Berlín,Registro sintético del hecho número 19 ocurrido en Berlín.,Manifestación,52.483963,13.429499,20/12/2017
Hecho 20 en Sídney,Registro sintético del hecho número 20 ocurrido en Sídney.,Desastre natural,-33.860341,151.249082,18/05/2023
Hecho 21 en Roma,Registro sintético del hecho número 21 ocurrido en Roma.,Incendio,41.952533,12.460233,17/06/2017
Hecho 22 en Berlín,Registro sintético del hecho número 22 ocurrido en Berlín.,Accidente,52.474712,13.365965,23/06/2023
Hecho 23 en Madrid,Registro sintético del hecho número 23 ocurrido en Madrid.,Hallazgo,40.373153,-3.715638,08/09/2021
Hecho 24 en Berlín,Registro sintético del hecho número 24 ocurrido en Berlín.,Delito informático,52.567108,13.441078,26/10/2017
Hecho 25 en Buenos Aires,Registro sintético del hecho número 25 ocurrido en Buenos Aires.,Accidente,-34.565221,-58.356512,24/08/2022
Hecho 26 en Londres,Registro sintético del hecho número 26 ocurrido en Londres.,Accidente,51.500877,-0.132428,17/04/2018
Hecho 27 en Tokio,Registro sintético del hecho número 27 ocurrido en Tokio.,Delito informático,35.657365,139.732963,18/07/2023
Hecho 28 en Tokio,Registro sintético del hecho número 28 ocurrido en Tokio.,Delito informático,35.659391,139.679091,30/10/2021
Hecho 29 en Madrid,Registro sintético del hecho número 29 ocurrido en Madrid.,Delito informático,40.459043,-3.661951,25/09/2023
Hecho 30 en Ciudad de México,Registro sintético del hecho número 30 ocurrido en Ciudad de México.,Incendio,19.384548,-99.09029,24/06/2020
Hecho 31 en Tokio,Registro sintético del hecho número 31 ocurrido en Tokio.,Evento cultural,35.663587,139.698436,26/08/2015
Hecho 32 en Nueva York,Registro sintético del hecho número 32 ocurrido en Nueva York.,Accidente,40.711399,-74.049079,17/03/2023
Hecho 33 en Sídney,Registro sintético del hecho número 33 ocurrido en Sídney.,Manifestación,-33.852825,151.253985,09/06/2016
Hecho 34 en Madrid,Registro sintético del hecho número 34 ocurrido en Madrid.,Desastre natural,40.454043,-3.711486,01/12/2020
Hecho 35 en París,Registro sintético del hecho número 35 ocurrido en París.,Delito informático,48.879593,2.322315,21/06/2023
Hecho 36 en Tokio,Registro sintético del hecho número 36 ocurrido en Tokio.,Hallazgo,35.704488,139.68551,14/07/2022
Hecho 37 en Sídney,Registro sintético del hecho número 37 ocurrido en Sídney.,Corte de servicios,-33.894009,151.165703,10/05/2016
Hecho 38 en Buenos Aires,Registro sintético del hecho número 38 ocurrido en Buenos Aires.,Emergencia sanitaria,-34.630689,-58.409578,18/03/2021
Hecho 39 en Nueva York,Registro sintético del hecho número 39 ocurrido en Nueva York.,Robo,40.66954,-74.052859,26/07/2017
Hecho 40 en Londres,Registro sintético del hecho número 40 ocurrido en Londres.,Accidente,51.4812,-0.110902,06/10/2020
Hecho 41 en París,Registro sintético del hecho número 41 ocurrido en París.,Delito informático,48.878935,2.390438,25/06/2016
Hecho 42 en Ciudad de México,Registro sintético del hecho número 42 ocurrido en Ciudad de México.,Corte de servicios,19.461062,-99.10245,22/09/2017
Hecho 43 en París,Registro sintético del hecho número 43 ocurrido en París.,Accidente,48.872498,2.33763,02/02/2016
Hecho 44 en Roma,Registro sintético del hecho número 44 ocurrido en Roma.,Corte de servicios,41.925708,12.513736,08/09/2024
Hecho 45 en Nueva York,Registro sintético del hecho número 45 ocurrido en Nueva York.,Robo,40.735621,-73.975941,08/07/2019
Hecho 46 en Nueva York,Registro sintético del hecho número 46 ocurrido en Nueva York.,Evento cultural,40.681821,-74.011139,23/02/2017
Hecho 47 en Roma,Registro sintético del hecho número 47 ocurrido en Roma.,Manifestación,41.899063,12.533849,14/02/2018
Hecho 48 en Nueva York,Registro sintético del hecho número 48 ocurrido en Nueva York.,Corte de servicios,40.748935,-74.000967,23/01/2024
Hecho 49 en Buenos Aires,Registro sintético del hecho número 49 ocurrido en Buenos Aires.,Delito informático,-34.652224,-58.422274,17/05/2024
Hecho 50 en París,Registro sintético del hecho número 50 ocurrido en París.,Manifestación,48.855164,2.323575,23/07/2019
Hecho 51 en Roma,Registro sintético del hecho número 51 ocurrido en Roma.,Robo,41.890697,12.544931,05/11/2016
Hecho 52 en Tokio,Registro sintético del hecho número 52 ocurrido en Tokio.,Corte de servicios,35.681801,139.737432,14/03/2018
Hecho 53 en Sídney,Registro sintético del hecho número 53 ocurrido en Sídney.,Corte de servicios,-33.89981,151.18107,26/09/2016
Hecho 54 en Buenos Aires,Registro sintético del hecho número 54 ocurrido en Buenos Aires.,Emergencia sanitaria,-34.59948,-58.356802,02/04/2023
Hecho 55 en Buenos Aires,Registro sintético del hecho número 55 ocurrido en Buenos Aires.,Robo,-34.606021,-58.339661,20/07/2021
Hecho 56 en Sídney,Registro sintético del hecho número 56 ocurrido en Sídney.,Manifestación,-33.822722,151.167311,21/08/2015
Hecho 57 en Madrid,Registro sintético del hecho número 57 ocurrido en Madrid.,Accidente,40.373596,-3.667618,03/09/2021
Hecho 58 en Roma,Registro sintético del hecho número 58 ocurrido en Roma.,Accidente,41.909768,12.504292,25/12/2024
Hecho 59 en Buenos Aires,Registro sintético del hecho número 59 ocurrido en Buenos Aires.,Emergencia sanitaria,-34.611778,-58.373233,02/12/2015
Hecho 60 en Sídney,Registro sintético del hecho número 60 ocurrido en Sídney.,Incendio,-33.898374,151.230919,04/12/2017
Hecho 61 en París,Registro sintético del hecho número 61 ocurrido en París.,Desastre natural,48.819688,2.36675,10/06/2019
Hecho 62 en Berlín,Registro sintético del hecho número 62 ocurrido en Berlín.,Incendio,52.563573,13.355932,07/06/2023
Hecho 63 en Ciudad de México,Registro sintético del hecho número 63 ocurrido en Ciudad de México.,Emergencia sanitaria,19.389926,-99.161885,14/02/2016
Hecho 64 en Tokio,Registro sintético del hecho número 64 ocurrido en Tokio.,Manifestación,35.727586,139.729627,30/11/2018
Hecho 65 en Londres,Registro sintético del hecho número 65 ocurrido en Londres.,Desastre natural,51.501218,-0.123478,08/10/2016
Hecho 66 en Tokio,Registro sintético del hecho número 66 ocurrido en Tokio.,Emergencia sanitaria,35.704898,139.642482,19/01/2024
Hecho 67 en Sídney,Registro sintético del hecho número 67 ocurrido en Sídney.,Desastre natural,-33.908441,151.247113,10/06/2022
Hecho 68 en Tokio,Registro sintético del hecho número 68 ocurrido en Tokio.,Accidente,35.650204,139.697022,23/12/2024
Hecho 69 en Tokio,Registro sintético del hecho número 69 ocurrido en Tokio.,Desastre natural,35.660563,139.675988,13/10/2021
Hecho 70 en Tokio,Registro sintético del hecho número 70 ocurrido en Tokio.,Delito informático,35.664612,139.732516,24/06/2020
Hecho 71 en Buenos Aires,Registro sintético del hecho número 71 ocurrido en Buenos Aires.,Accidente,-34.611342,-58.403932,11/02/2022
Hecho 72 en Buenos Aires,Registro sintético del hecho número 72 ocurrido en Buenos Aires.,Incendio,-34.640618,-58.33362,25/08/2023
Hecho 73 en Madrid,Registro sintético del hecho número 73 ocurrido en Madrid.,Corte de servicios,40.437367,-3.697709,09/03/2021
Hecho 74 en Nueva York,Registro sintético del hecho número 74 ocurrido en Nueva York.,Accidente,40.731902,-74.041095,26/11/2024
Hecho 75 en Buenos Aires,Registro sintético del hecho número 75 ocurrido en Buenos Aires.,Incendio,-34.598447,-58.388621,13/07/2021
Hecho 76 en Buenos Aires,Registro sintético del hecho número 76 ocurrido en Buenos Aires.,Desastre natural,-34.563802,-58.351988,02/02/2019
Hecho 77 en Buenos Aires,Registro sintético del hecho número 77 ocurrido en Buenos Aires.,Incendio,-34.585493,-58.364907,10/05/2017
Hecho 78 en Londres,Registro sintético del hecho número 78 ocurrido en Londres.,Delito informático,51.544871,-0.080416,30/11/2024
Hecho 79 en Madrid,Registro sintético del hecho número 79 ocurrido en Madrid.,Evento cultural,40.38305,-3.673811,11/09/2024
Hecho 80 en Madrid,Registro sintético del hecho número 80 ocurrido en Madrid.,Hallazgo,40.384736,-3.661351,12/04/2015
Hecho 81 en Roma,Registro sintético del hecho número 81 ocurrido en Roma.,Evento cultural,41.86872,12.516528,28/12/2017
