Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Corte de camino vecinal #1,El hecho ocurrió en una zona rural afectando a productores locales.,Seguridad Rural,-45.649003,-68.92418,04/03/2022
Corte de camino vecinal #2,"No se reportaron heridos, solo daños en infraestructura rural.",Climático,-34.923255,-72.848455,05/04/2023
Accidente agrícola #3,Vecinos de la zona reportaron el evento durante la madrugada.,Emergencia,-34.531363,-61.994476,19/01/2016
Rescate de animales #4,El evento generó pérdidas materiales moderadas.,Infraestructura,-39.726892,-67.79709,11/01/2023
Incendio rural #5,Vecinos de la zona reportaron el evento durante la madrugada.,Seguridad Rural,-40.63111,-67.803637,30/09/2024
Sequía prolongada #6,El hecho ocurrió en una zona rural afectando a productores locales.,Climático,-42.082472,-66.140923,31/05/2017
Tormenta severa #7,Autoridades rurales intervinieron para controlar la situación.,Climático,-30.189119,-62.507324,09/11/2018
Corte de camino vecinal #8,"No se reportaron heridos, solo daños en infraestructura rural.",Agricultura,-26.800241,-60.820345,31/03/2019
Sequía prolongada #9,"No se reportaron heridos, solo daños en infraestructura rural.",Infraestructura,-31.044558,-72.5606,30/08/2024
Inundación rural #10,El hecho ocurrió en una zona rural afectando a productores locales.,Infraestructura,-25.539555,-65.707412,22/07/2017
Sequía prolongada #11,Vecinos de la zona reportaron el evento durante la madrugada.,Agricultura,-42.920796,-59.761409,01/02/2020
Corte de camino vecinal #12,"No se reportaron heridos, solo daños en infraestructura rural.",Seguridad Rural,-49.181286,-58.552901,14/11/2022
Falla eléctrica rural #13,El evento generó pérdidas materiales moderadas.,Agricultura,-21.356206,-60.380005,31/10/2016
Accidente agrícola #14,Autoridades rurales intervinieron para controlar la situación.,Climático,-47.212366,-72.841945,31/03/2021
Plaga en cultivos #15,Autoridades rurales intervinieron para controlar la situación.,Climático,-47.826583,-54.170351,16/07/2018
Sequía prolongada #16,Vecinos de la zona reportaron el evento durante la madrugada.,Seguridad Rural,-38.026137,-55.363995,29/10/2024
Falla eléctrica rural #17,Vecinos de la zona reportaron el evento durante la madrugada.,Agricultura,-50.252569,-58.227726,18/03/2022
Inundación rural #18,"No se reportaron heridos, solo daños en infraestructura rural.",Ambiental,-24.474022,-65.31229,16/01/2021
Hallazgo arqueológico #19,"No se reportaron heridos, solo daños en infraestructura rural.",Ambiental,-51.90908,-72.534114,17/06/2017
Hallazgo arqueológico #20,Vecinos de la zona reportaron el evento durante la madrugada.,Seguridad Rural,-40.646561,-72.197682,25/03/2016
Tormenta severa #21,El evento generó pérdidas materiales moderadas.,Emergencia,-46.45192,-62.158869,13/04/2019
Corte de camino vecinal #22,"No se reportaron heridos, solo daños en infraestructura rural.",Agricultura,-28.867643,-66.526403,17/02/2015
Plaga en cultivos #23,Vecinos de la zona reportaron el evento durante la madrugada.,Ambiental,-54.889659,-58.697113,17/04/2018
Inundación rural #24,"No se reportaron heridos, solo daños en infraestructura rural.",Infraestructura,-37.738823,-71.318578,26/01/2023
Inundación rural #25,"No se reportaron heridos, solo daños en infraestructura rural.",Emergencia,-48.237023,-65.834766,05/01/2022
Rescate de animales #26,"No se reportaron heridos, solo daños en infraestructura rural.",Climático,-34.635884,-63.483583,23/10/2016
Sequía prolongada #27,Autoridades rurales intervinieron para controlar la situación.,Infraestructura,-53.030544,-55.500803,03/04/2016
Corte de camino vecinal #28,El evento generó pérdidas materiales moderadas.,Climático,-21.748527,-62.579524,19/11/2015
Hallazgo arqueológico #29,El evento generó pérdidas materiales moderadas.,Emergencia,-49.385683,-62.682687,30/05/2016
Plaga en cultivos #30,Vecinos de la zona reportaron el evento durante la madrugada.,Emergencia,-29.320983,-59.357714,20/10/2021
Inundación rural #31,El evento generó pérdidas materiales moderadas.,Seguridad Rural,-32.904146,-64.518948,30/12/2022
Falla eléctrica rural #32,El hecho ocurrió en una zona rural afectando a productores locales.,Infraestructura,-47.360291,-66.569246,20/10/2020
Rescate de animales #33,Vecinos de la zona reportaron el evento durante la madrugada.,Emergencia,-47.512609,-72.044642,06/08/2021
Incendio rural #34,Vecinos de la zona reportaron el evento durante la madrugada.,Climático,-24.21572,-55.877474,28/01/2022
Rescate de animales #35,Vecinos de la zona reportaron el evento durante la madrugada.,Agricultura,-32.254756,-69.108145,18/10/2015
Tormenta severa #36,"No se reportaron heridos, solo daños en infraestructura rural.",Ambiental,-46.738094,-63.804055,25/06/2016
Accidente agrícola #37,El hecho ocurrió en una zona rural afectando a productores locales.,Climático,-32.594587,-66.2369,26/07/2019
Falla eléctrica rural #38,El hecho ocurrió en una zona rural afectando a productores locales.,Seguridad Rural,-32.782513,-60.253315,11/08/2019
Plaga en cultivos #39,Autoridades rurales intervinieron para controlar la situación.,Climático,-46.545685,-69.600717,06/09/2015
Hallazgo arqueológico #40,El evento generó pérdidas materiales moderadas.,Infraestructura,-45.529465,-68.378968,12/01/2020
Falla eléctrica rural #41,"No se reportaron heridos, solo daños en infraestructura rural.",Climático,-53.279997,-53.014709,05/11/2015
Incendio rural #42,El hecho ocurrió en una zona rural afectando a productores locales.,Infraestructura,-49.345422,-63.544357,17/05/2024
Plaga en cultivos #43,El hecho ocurrió en una zona rural afectando a productores locales.,Infraestructura,-42.114914,-53.301169,25/05/2017
Falla eléctrica rural #44,Autoridades rurales intervinieron para controlar la situación.,Ambiental,-31.315889,-58.524641,22/12/2017
Rescate de animales #45,El evento generó pérdidas materiales moderadas.,Infraestructura,-48.543473,-69.037132,14/10/2023
Tormenta severa #46,"No se reportaron heridos, solo daños en infraestructura rural.",Climático,-29.568831,-72.328112,28/08/2015
Falla eléctrica rural #47,"No se reportaron heridos, solo daños en infraestructura rural.",Emergencia,-49.647287,-53.804032,20/07/2021
Hallazgo arqueológico #48,El hecho ocurrió en una zona rural afectando a productores locales.,Emergencia,-52.689331,-55.832706,25/11/2015
