Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Hecho 1 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Incendio,-34.582183,-58.400276,24/12/2018
Hecho 2 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Corte de servicios,-34.598715,-58.394336,06/01/2024
Hecho 3 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Manifestación,-34.616723,-58.394896,08/07/2019
Hecho 4 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Manifestación,-32.857028,-68.823913,07/01/2018
Hecho 5 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Corte de servicios,-38.991072,-68.040537,14/10/2018
Hecho 6 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Robo,-31.406729,-64.2187,15/01/2019
Hecho 7 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Incendio,-34.597827,-58.400374,30/10/2022
Hecho 8 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Incendio,-34.601966,-58.382963,07/11/2021
Hecho 9 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Delito informático,-38.926853,-68.073879,02/05/2024
Hecho 10 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Delito informático,-26.793513,-65.206532,15/11/2022
Hecho 11 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Hallazgo policial,-38.938122,-68.069138,03/11/2023
Hecho 12 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Manifestación,-34.570608,-58.368954,05/12/2018
Hecho 13 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Emergencia sanitaria,-32.939864,-60.619787,12/10/2021
Hecho 14 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Corte de servicios,-24.759801,-65.461895,05/06/2024
Hecho 15 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Accidente de tránsito,-38.990574,-68.070947,28/01/2022
Hecho 16 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Corte de servicios,-32.889419,-68.819873,20/12/2023
Hecho 17 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Incendio,-34.566575,-58.371201,20/07/2023
Hecho 18 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Delito informático,-32.851046,-68.873499,05/06/2023
Hecho 19 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Hallazgo policial,-31.613168,-60.73647,31/03/2022
Hecho 20 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Hallazgo policial,-32.982519,-60.626589,02/03/2020
Hecho 21 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Corte de servicios,-34.961372,-57.944993,18/09/2022
Hecho 22 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Emergencia sanitaria,-31.666668,-60.668202,30/12/2018
Hecho 23 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Corte de servicios,-31.629573,-60.689193,28/10/2018
Hecho 24 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Emergencia sanitaria,-34.567239,-58.418958,11/12/2020
Hecho 25 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Emergencia sanitaria,-31.645431,-60.68887,24/08/2022
Hecho 26 en Rosario,"Hecho sintético registrado en la ciudad de Rosario, Argentina.",Corte de servicios,-32.926783,-60.636176,21/09/2018
Hecho 27 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Evento cultural,-37.979519,-57.532398,18/11/2018
Hecho 28 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Corte de servicios,-31.648807,-60.666902,11/01/2024
Hecho 29 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Corte de servicios,-34.951282,-57.916406,18/02/2022
Hecho 30 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Accidente de tránsito,-31.609118,-60.7091,15/11/2019
Hecho 31 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Manifestación,-34.590224,-58.393637,06/02/2023
Hecho 32 en Salta,"Hecho sintético registrado en la ciudad de Salta, Argentina.",Incendio,-24.758811,-65.460939,24/10/2022
Hecho 33 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Emergencia sanitaria,-31.632122,-60.72901,18/10/2023
Hecho 34 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Accidente de tránsito,-31.615194,-60.722008,13/02/2024
Hecho 35 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Emergencia sanitaria,-38.96986,-68.058596,16/01/2019
Hecho 36 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Emergencia sanitaria,-32.897646,-68.810739,19/12/2020
Hecho 37 en Córdoba,"Hecho sintético registrado en la ciudad de Córdoba, Argentina.",Evento cultural,-31.44414,-64.149179,01/09/2023
Hecho 38 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Evento cultural,-34.59853,-58.414792,03/01/2021
Hecho 39 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Accidente de tránsito,-38.001137,-57.571923,29/10/2021
Hecho 40 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Manifestación,-31.633917,-60.708132,06/06/2023
Hecho 41 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Incendio,-34.574328,-58.394358,25/06/2024
Hecho 42 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Delito informático,-32.88072,-68.885323,01/06/2019
Hecho 43 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Hallazgo policial,-38.935937,-68.089315,07/11/2021
Hecho 44 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Emergencia sanitaria,-34.614753,-58.368084,03/03/2023
Hecho 45 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Emergencia sanitaria,-26.830972,-65.221676,09/01/2022
Hecho 46 en Mendoza,"Hecho sintético registrado en la ciudad de Mendoza, Argentina.",Manifestación,-32.851322,-68.880805,16/04/2022
Hecho 47 en San Miguel de Tucumán,"Hecho sintético registrado en la ciudad de San Miguel de Tucumán, Argentina.",Corte de servicios,-26.827062,-65.183646,12/08/2023
Hecho 48 en Santa Fe,"Hecho sintético registrado en la ciudad de Santa Fe, Argentina.",Corte de servicios,-31.667767,-60.716328,18/02/2022
Hecho 49 en La Plata,"Hecho sintético registrado en la ciudad de La Plata, Argentina.",Delito informático,-34.935621,-57.918862,15/10/2024
Hecho 50 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Corte de servicios,-34.635103,-58.375718,07/05/2021
Hecho 51 en Mar del Plata,"Hecho sintético registrado en la ciudad de Mar del Plata, Argentina.",Evento cultural,-38.024227,-57.547462,30/12/2022
Hecho 52 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Emergencia sanitaria,-38.915697,-68.062661,14/10/2020
Hecho 53 en Neuquén,"Hecho sintético registrado en la ciudad de Neuquén, Argentina.",Incendio,-38.915212,-68.084524,13/10/2021
Hecho 54 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Corte de servicios,-34.584999,-58.383414,27/07/2023
Hecho 55 en Buenos Aires,"Hecho sintético registrado en la ciudad de Buenos Aires, Argentina.",Hallazgo policial,-34.632376,-58.351963,29/01/2024
